subject,stim_name,ensemble,genre,target,mean_pearson
0002,classique_morceau2_duo_BoFh_theme2_stereo_Fh,duo,classique,Fh,0.011209402578118944
0002,classique_morceau2_duo_BoFl_theme2_stereo_Bo,duo,classique,Bo,0.025338010152032627
0002,classique_morceau2_duo_BoFl_theme2_stereo_Fl,duo,classique,Fl,0.026851652688453895
0002,classique_morceau2_duo_FhFl_theme1_stereo_Fh,duo,classique,Fh,-0.012048987897718287
0002,classique_morceau2_duo_FhFl_theme1_stereo_Fl,duo,classique,Fl,0.0005678321154709995
0002,classique_morceau2_trio_BoFhFl_theme1_stereo_Bo,trio,classique,Bo,-0.027627531761722224
0002,classique_morceau2_trio_BoFhFl_theme1_stereo_Fh,trio,classique,Fh,-0.025145654529989292
0002,classique_morceau2_trio_BoFhFl_theme1_stereo_Fl,trio,classique,Fl,-0.002642529164147353
0002,pop_falldead_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.02186082008624199
0002,pop_falldead_duo_BsDr_theme1_stereo_Dr,duo,pop,Dr,0.009227149386205925
0002,pop_falldead_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,0.01889927985177108
0002,pop_falldead_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,-0.006409979204776178
0002,pop_falldead_trio_BsDrVx_theme1_stereo_Dr,trio,pop,Dr,0.04312155996489786
0002,pop_falldead_trio_GtDrVx_theme1_stereo_Dr,trio,pop,Dr,0.015939999926733894
0002,pop_falldead_trio_GtDrVx_theme1_stereo_Vx,trio,pop,Vx,-0.0239058279955309
0002,pop_mixtape_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.012166638675877922
0002,pop_mixtape_duo_BsDr_theme2_stereo_Dr,duo,pop,Dr,0.010157909253361205
0002,pop_mixtape_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,-0.03950855455170622
0002,pop_mixtape_duo_GtVx_theme2_stereo_Vx,duo,pop,Vx,0.0060641275820672615
0002,pop_mixtape_trio_GtDrVx_theme1_stereo_Gt,trio,pop,Gt,0.0005010076774060677
0002,pop_mixtape_trio_GtDrVx_theme2_stereo_Dr,trio,pop,Dr,-0.004187344592490274
0002,pop_mixtape_trio_GtDrVx_theme2_stereo_Vx,trio,pop,Vx,0.026004925118263366
0003,classique_morceau1_duo_CoFl_theme2_stereo_Co,duo,classique,Co,0.01103268375603491
0003,classique_morceau1_duo_CoFl_theme2_stereo_Fl,duo,classique,Fl,0.026636628147899397
0003,classique_morceau1_duo_CoOb_theme1_stereo_Co,duo,classique,Co,0.04197728785818883
0003,classique_morceau1_duo_CoOb_theme2_stereo_Ob,duo,classique,Ob,-0.01874072671536174
0003,classique_morceau1_duo_FlOb_theme1_stereo_Fl,duo,classique,Fl,0.06891440352185647
0003,classique_morceau1_duo_FlOb_theme2_stereo_Ob,duo,classique,Ob,-0.002951820383422302
0003,classique_morceau1_trio_CoFlOb_theme1_stereo_Co,trio,classique,Co,-0.02689595822633554
0003,classique_morceau1_trio_CoFlOb_theme1_stereo_Ob,trio,classique,Ob,0.014497762240999917
0003,classique_morceau1_trio_CoFlOb_theme2_stereo_Fl,trio,classique,Fl,0.06122625293167625
0003,classique_morceau2_duo_BoFh_theme1_stereo_Fh,duo,classique,Fh,-0.02091537949188654
0003,classique_morceau2_duo_BoFh_theme2_stereo_Bo,duo,classique,Bo,0.048192895388090407
0003,classique_morceau2_duo_BoFl_theme2_stereo_Bo,duo,classique,Bo,0.01497512181952864
0003,classique_morceau2_duo_BoFl_theme2_stereo_Fl,duo,classique,Fl,0.01061279034191104
0003,classique_morceau2_duo_FhFl_theme1_stereo_Fh,duo,classique,Fh,-0.02433686533883997
0003,classique_morceau2_duo_FhFl_theme1_stereo_Fl,duo,classique,Fl,0.009899009207135429
0003,classique_morceau2_trio_BoFhFl_theme2_stereo_Bo,trio,classique,Bo,-0.011948479917048437
0003,classique_morceau2_trio_BoFhFl_theme2_stereo_Fh,trio,classique,Fh,-0.04055973282152236
0003,classique_morceau2_trio_BoFhFl_theme2_stereo_Fl,trio,classique,Fl,0.015769254851500766
0003,pop_falldead_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,-0.024989648562982386
0003,pop_falldead_duo_BsDr_theme1_stereo_Dr,duo,pop,Dr,0.014693288300099415
0003,pop_falldead_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,0.007921972911301629
0003,pop_falldead_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,0.0026510587577828286
0003,pop_falldead_trio_GtDrVx_theme1_stereo_Dr,trio,pop,Dr,0.017581580874360698
0003,pop_falldead_trio_GtDrVx_theme1_stereo_Gt,trio,pop,Gt,0.022631705310918116
0003,pop_falldead_trio_GtDrVx_theme1_stereo_Vx,trio,pop,Vx,-0.008868546596571944
0003,pop_mixtape_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.0015048545085487163
0003,pop_mixtape_duo_BsDr_theme1_stereo_Dr,duo,pop,Dr,0.031518700899200454
0003,pop_mixtape_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,0.06064784693549155
